date,ts,group,score,title,content
2024/8/12,1723413600,friends,4.0,Las patatas chili muy ricas,Nos ha atendido Manolo y ha sido muy amable y atento.Nos gustó mucho la fusión de la comida en Martina.La próxima vez que vengamos a Albacete repetiremos.
2024/8/9,1723154400,couples,4.0,Callos con sabor a antaño,"Andrés, .muy buena atención y agradable, te llevamos en el corazónHemos comido muy agusto calidad precio muy buena..."
2024/8/9,1723154400,couples,5.0,Muy buena experiencia culinaria,Platos fusion que sorprenden al paladar con una oferta muy interesante Comida muy buena y servicio excelente. Buen ambiente. Recomendable.
2024/8/8,1723068000,couples,5.0,Encantador,Me trajo mi pareja por mi cumpleaños. El personal súper amable y atento a cualquier detalle. No falta detalle!Altamente recomendable y repetible.
2024/8/6,1722895200,family,5.0,Travesía de sabores tradicionales e innovadores,"Comida muy elaborada y saborea intensos. Tinen 3 platos para Niños pequeños por lo que todos hemos podido disfrutar. Precio normal, y mezcla tradicional y comida de vanguardia.Hemos probado un pollo coreano con palomitas que estaba espectacular, solo le pongo una pega , he echado en falta algo de pan para poder disfrutar la salsa del pollo y de las patatas bravas que estaba buenísima."
2024/7/31,1722376800,family,5.0,Perfecto,He estado con mi familia cenando el lunes y ha sido increíble. El trato y la profesionalidad de Andrés ha sido de 10. Todo lo que pedimos estuvo riquísimo. Lo recomiendo 100%
2024/7/31,1722376800,couples,5.0,Excelente sitio para visitar,Excelente atención por Andrés por sus recomendaciones y agrado a la hora de atender rápido agradable un gran profesional de los que pocos hay hoy en día.
2024/7/28,1722117600,friends,3.0,"LA COMIDA Y EL SERVICIO BIEN, PERO....","Como siempre, todo lo que pidas está muy rico. Sorprendentes patatas bravas, llamadas Bravas Palencia. La tortillitas de camarones están muy buenas pero siempre me han parecido un poco bastas o gruesas. El lomo de orza y las croquetas, riquísimas. El tataki de atún bien sin más. Pero esta vez tengo que expresar una queja que no exprese en el instante porque éramos los últimos y cerraban ya el local, y con amigos no era el momento. En el ticket que adjunto nos cobran 1,5 € por cabeza en concepto Servicio de restaurante. Es decir, nos clavan 9 euros simplemente por hacer el trabajo propio de este local??? A qué extremo hemos llegado ya de abusos??? Por no hablar que ese concepto no figura en la carta, y, como bien es sabido, no se puede cobrar nada que no aparezca en la carta, y menos aún este concepto tan vergonzoso."
2024/7/28,1722117600,couples,5.0,Experiencia estupenda,"Este restaurante es perfecto para ir a comeren familia, con amigos o en pareja. Hay una carta muy variada y todos sus productos son de muy buena calidad y están muy buenos"
2024/7/28,1722117600,family,5.0,"Calidad, buen servicio, acorde a lo que vale.","Sitio ideal para comer en familia o con amigos, puedes comer en la parte de cafetería con su carta especial o dentro en el restaurante con su carta. Muy bueno en ambas posibilidades."
2024/7/27,1722031200,couples,5.0,Espectacular,"Las bravas de Palencia, croquetas de cecina y la costilla espectaculares. El resto muy bueno Atención especial de Andrés y Carmen, muy amables y profesionales. Para repetir!"
2024/7/25,1721858400,family,5.0,Comida tranquila en el centro de Albacete,Muy buena experiencia y bien recomendados por Andrés. Recomiendo el cortado de solomillo de ciervo y la tapa de manda webos
2024/7/21,1721512800,couples,5.0,"Calidad, precio y servicio muy recomendable","Era la primera vez que íbamos y muy recomendable, la comida de muy buena calidad y el servicio excepcional, te aclaran todas las dudas y están pendientes de ti sin agobiar. Por mejorar algo, ofrecer la cata de quesos al inicio, aunque sé que algunas personas los prefieren de postre. Un restaurante totalmente recomendable."
2024/7/20,1721426400,friends,5.0,Cena excepcional,Cena muy a gusto de amigas con una atención sublime de nuestro camarero Álvaro. Cena exquisita. Muy recomendable. Volveremos.
2024/7/20,1721426400,friends,5.0,"La comida, el precio y el trato de los trabajadores.","Un placer cenar en la martina, nunca había estado allí y me ha encantado. El trato por el personal espectacular. Volveré sin duda. Lo recomiendo. Gracias"
2024/7/18,1721253600,couples,5.0,Excelente Restaurante Martina,"La comida es abundante y de muy buena calidad, pero sobre todo resaltar el trato de los camareros Álvaro y Naty.Lugar para repetir."
2024/7/16,1721080800,couples,5.0,La comida y el trato siempre son correctos y excelentes.,"Otra noche en compañía inmejorable y con un trato excelente, esta vez por parte de Andres “el parce”Hasta la próxima!!!"
2024/7/16,1721080800,family,5.0,Muy bueno todo,"Es un lugar buenísimo para comer o cenar, los camareros muy atentos y amables recomiendo venir al establecimiento y disfrutar de la comida."
2024/7/16,1721080800,family,4.0,Ambiente tranquilo y acogedor,"Sólo hice una consumición mínima y me atendieron muy bien, buena temperatura, buen ambiente,  servicio rápido,  …Repetiré"
2024/7/3,1719957600,couples,5.0,genial experiencia en comida,"Comida excepcional, pedimos las setas shitake con vaca rubia, las gyozas, el pan bao de cerdo buenisimo, croqueta de cecina , todo fabuloso.Nos atendido Nati y el trato fue mas que perfecto, amable simpática y te ayuda a elegir los platos si tienes dudas. Pedimos postre también y el precio fue de 25€/persona.  Salimos muy contentas y para repetir próximas veces"
2024/6/30,1719698400,couples,5.0,Buen servicio y calidad de productos,La experiencia increíble...muy buen servicio y muy rico todo....desde entrantes a postres. Tienen el detalle de poner una tapa al llegar y otra al terminar. El bacalao con salsa de trufa una exquisitez!
2024/6/29,1719612000,couples,5.0,ESPECIAL,"Dixon y Nati principalmente un encanto, todo super bien. La comida exquisita, sin peros. Las bravas no las dejéis pasar."
2024/6/28,1719525600,family,4.0,"un trato exquisito por parte de las jovencísimas camareras, en especial....","Al margen de decir  que si la comida es buena o muy buena, y de que la relación calidad-precio es mejorable o ya de por sí esta muy bien, que todo es discutible ( y desde mi punto de vista están bastante bien ambas cosas) hay que reseñar sobre todo el buen trabajo y el magnifico trato que realizan las jovencísimas camareras que ayer viernes por la noche estaban atendiendo las mesas, especialmente reseñar a la que nos tocó a nosotros como camarera en nuestra mesa, Judith, un encanto de persona en el trato global hacia nosotros y en especial a nuestra hija, con la que se volcó en todo momento para que la estancia allí fuera inmejorable. Bravo."
2024/6/27,1719439200,family,5.0,Comida en familia,"Siempre que tengo la oportunidad llevo a mis invitados al Martina. La comida está riquísima (recomiendo especialmente las bravas y el pulpo a la brasa). Nos atendió Álvaro, que ha sido un encanto. Lo recomiendo 100%."
2024/6/24,1719180000,couples,5.0,Buena experiencia,Calidad-precio muy bueno. Hemos pedido 2 tapas y rodaballo y muy buena calidad.Muy buen trato y de regalo unos Miguelitos
2024/6/20,1718834400,solo,1.0,Empatía,"Soy clienta de desayunos, brunch y alguna cena, hoy me pusieron una tapa que pido con la caña de atún marinado, cuando llegó a la mesa el color lo decía todo, no estaba en condiciones para consumo, lo probé y una mala  textura, incluso con ligero picor en boca, dejo la tapa sin terminar, comunico que no está acta para consumo que lo avisen en cocina y mi sorpresa es que me pasan la cuenta y me la cobran como si tal cosa. Enhorabuena acabáis de perderme como clienta y por supuesto la gente que llevo conmigo. Solo espero no tener efectos secundarios con el atún marinado."
2024/6/18,1718661600,friends,5.0,Para repetir,"Ideal. Muy elegante y la zona del reservado muy íntima. La comida deliciosa, con sabores sorprendentes y a buen precio."
2024/6/14,1718316000,couples,3.0,Buan ambiente en el centro,"Ambiente agradable y distendido,  comida con delicada presentación, con sabor y de calidad.  Como mejora, sugeriría una mejor extracción,  en la zona de barra huele mucho a humos de cocina"
2024/6/12,1718143200,couples,5.0,Para repetir,"La comida estaba buenísima y el trato y la atención por parte del camarero, Álvaro, fue espectacular. Sin duda volveremos a repetir"
2024/6/12,1718143200,family,3.0,LEJOS DE LO QUE FUE,Demasiada lentitud y nueva carta algo escasa y repetitiva. Personal escaso y no demasiado atento a las llamadas que les hacíamos.
2024/6/10,1717970400,couples,5.0,Cena en pareja,"Toda la comida muy buena, servicio rápido y el camarero muy atento y majo en todo momento. Volveremos a repetir seguroo."
2024/6/9,1717884000,couples,5.0,aniversario de cine,"ayer escribí una reseña el max.de positiva. Joana y Jose luis... la eliminé esta mañana al ver q salía a nombre de otra persona,no entiendo.Resumiendo,atendidos x Dicson y Judhit GENIALES,la comida tb espectacular!!"
2024/6/7,1717711200,friends,5.0,Variedad y simpatía ,"Sitio agradable con carta variada de calidad, el pulpo muy bueno, a destacar el buen servicio, la simpatía y amabilidad por parte de Pablo y Nati.Gracias chicos, repetiremos "
2024/6/6,1717624800,family,5.0,Cena riquísima,"Excelente cena, comida de calidad!! Pablo y Nati muy buenos camareros, muy buena atención y explicación de todos los platos. Repetiremos seguro."
2024/6/5,1717538400,family,4.0,Muy buena comida y buen servicio,"La comisa está buenísima, el lugar es súper bonito y acogedor, la camarera esperanza muy agradable, profesional, sin duda un excelente servicio.Sin duda alguna volveré a ir♥️♥️"
2024/6/5,1717538400,friends,5.0,Excelente,"Fuimos a comer por probar algún sitio nuevo y nos sorprendió bastante, comimos en la terraza, la comida estaba deliciosa y hay que resaltar el trato que nos dio la camarera Esperanza, muy amable y atenta a nuestras peticiones. Volveremos sin duda."
2024/6/4,1717452000,family,5.0,5 estrellas,"Muy buen servicio de parte de la chica llamada Esperanza, muy buena atención y servio, deliciosa comida, muy amables ❤️"
2024/6/4,1717452000,couples,4.0,Una gran experiencia,"Pablo, el camarero que atendió aquella noche, fue estupendo, agradable y atento, además de simpáticoUn gusto con gente como el. Además de la comida, de muy buena calidad y con precios muy competentes!Volveremos seguro!"
2024/6/2,1717279200,friends,5.0,Comida 10 con amigos,"Comida perfecta con amigos,cada plato que tomamos buenísimo muchos aconsejados por Nati la camarera que nos atendió de 10.Para repetir sin dudarlo."
2024/5/31,1717106400,friends,5.0,Muy recomendable,"Excepcional, muy buena atención nati nos aconsejo perfecto, todo buenísimo sobre todo el ciervo, muy recomendable volveremos seguro nos faltaron platos por probar."
2024/5/31,1717106400,family,5.0,Genial,"El servicio,el trato y el lugar son increíbles.Tan increíbles que Álvaro y yo celebraremos nuestra boda aquí.❤️Love❤️"
2024/5/22,1716328800,business,5.0,Negocios ,"Reunion de trabajo. Camarera muy atenta y simpática ( creo que se llama Esperanza).  Al final... Unas tapitas,un vino... Muy recomendable. Muy bien de  precios/ calidad"
2024/5/22,1716328800,solo,5.0,Para volver seguro!,Genial todo lo que pedí. La próxima vez acompañada para poder probar más cositas.  Fue más tapear pero creo q será buena experiencia probar platos más contundentes .
2024/5/17,1715896800,family,5.0,Terracita al fresco,"Cenamos en la terraza y el servicio de Pablo y Álvaro fue excepcional, aunque había un gran volumen de gente. Una experiencia muy buena."
2024/5/15,1715724000,friends,4.0,"Buen servicio y buena comida, los baños muy limpios 🤩","Buen sitio para comer, muy buen servicio y muy buenos camarerosA mí me atendió Pablo y super amable y respetuoso 💯 muy buen servicio del chico"
2024/5/15,1715724000,couples,5.0,Increíble!!,Martina nunca decepciona! Es un sitio ideal y magnífico para comer en pareja o grupo. Tiene una variedad de platos espectacular y la calidad es exquisita! Siempre venimos a comer cuando nos dejan los trabajos y la verdad es que es top!
2024/5/13,1715551200,friends,5.0,Comida espectacular,"Sitio brutal para venir a comer, único en Albacete, las patatas Palencia están para repetir 5 veces por lo menos y el come y callo esta exquisito, volveremos seguro"
2024/5/12,1715464800,friends,5.0,Volveremos,"La comida riquísima, sobre todo las Patatas bravas Palencia y el tataki de atún, pero lo mejor fue el camarero que nos atendió, Álvaro, rápido, atento, simpático y muy profesional, repetiremos sin duda!."
2024/5/11,1715378400,couples,5.0,Visita obligatoria,"Cocina excelente, un trato de 10, la ubicacion ideal. Merece la pena cualquier plato de la carta, sobre todo el apartado de Fussion. Nos atendio Alvaro, un joven encantador, atento y muy profesional. Volveremos  y traeremos mas gente a disfrutar."
2024/5/11,1715378400,friends,5.0,Recomendable 👌🏼,"Dejate recomendar, cocina fusion muy lograda, tuvimos dudas con la carta y Alvaro nos recomendo platos muy muy acertados, salimos contentos y con ganas de volver, patatas sweet chili y cortado de entrecot de ciervo un acierto"
2024/5/10,1715292000,family,5.0,"Buena eleccion, recomendable pero para ciertos bolsillos","Buen restaurante, con carta fiel a la tradicción pero combinando muy bien con la fusión. Buenas propuestas y muy buen servicio,recomendable 100% aunque siempre teniendo en cuenta el precio por persona"
2024/5/10,1715292000,couples,4.0,Tres días en Albacete,"Comimos bien .El servicio estuvo a la altura de lo que ofrecen buena comida contemporánea y de calidad.Pedimos ensalada de perdiz muy abundante y muy buena , un come y calla que es tortilla con callos buenísima y un tataki esto último ya no podíamos todo muy bueno.Éramos dos personas con doble de bebidas y café salimos a 25 € por persona .Restaurante muy recomendable ."
2024/5/10,1715292000,couples,5.0,No desfrauda,"Siempre es un acierto, ya sea para picar algo oboara comer.Buen servicio y producto bien trabajado, innovador, pero sencillo."
2024/5/5,1714860000,family,5.0,Una buena experiencia,"Todo lo que pedimos estaba muy bueno y el precio correcto, la atención (sobretodo de Andrés) y la rapidez igual, no dudaremos en repetir, ahí dejo algunas fotos."
2024/5/4,1714773600,couples,4.0,Seguid siempre así.,"Hemos ido muchas veces y nunca nos ha decepcionado. Productos de buena calidad y bien elaborados. Los camareros muy serviciales y con mucha complicidad con los clientes, al menos con nosotros. Precio contenido para la calidad que sirven. Siempre volveremos."
2024/5/2,1714600800,family,4.0,"Buenas comida, ambiente tranquilo y acogedor","Genial para comer con amigos, familia e incluso de negocios. En un sitio céntrico y tranquilo de la ciudad de Albacete. Enfrente del Parque principal"
2024/5/2,1714600800,family,5.0,Perfecto,"Excelente relación calidad/precio. Fuimos atendidas por Andrés, el trato perfecto y amable. Volveremos de nuevo sin duda."
2024/5/1,1714514400,family,5.0,Comida y servicio excepcional,"La camarera que nos atendió llamada Nati fue un encanto, atenta y sonriente. Un placer comer aquí y con camareros de este calibre."
2024/4/27,1714168800,couples,5.0,"Para repetir, siempre","Todo buenísimo, calidad, ceveza Mahou, y la atención excepcional. Hemos comido en la barra y ha sido perfecto. Variedad en la carta."
2024/4/26,1714082400,family,5.0,Muy agradable la cena,"Con la nueva carta disfrutamos de los nuevos platos, muy ricos y originales. Con un servicio muy profesional te aconsejan muy bien."
2024/4/23,1713823200,couples,5.0,Menú de estrella a precio asequible,"Precio calidad imcomparable, del servicio y del menú. Muy recomendable si quieres comer a buen precio y con calidad inmejorable."
