date,ts,group,score,title,content
2021/5/5,1620165600,couples,3.0,Sí pero no.,"Mi opinión es sobre el Tapa Negra que está en la calle Zapateros. Ya habia ido otra vez al del Altozano y me gustó más. Por eso decidí repetir. Tiene una carta amplia y económica para kr a tapear, eso me gusta. Pero no todo está a la altura, creo q depende de lo q elijas puede estar rico y bien elaborado, y otras cosas son un poco un invento. También me preguntó hasta que punto elaboran ellos las salsas, guacamole, etc... O es de bote. La atención bien pero los camareros salían a fumar a la puerta, aún teniendo trabajo pq había muchas mesas que no habían acabado. Lo de fumar en la puerta da muy mala sensación y más en estos tiempos. Podría volver a tapear con amigos si surge... Pero no será de mis primeras opciones."
2020/10/27,1603753200,couples,5.0,Nos encantó,"Fui con mi pareja a comer, recomendada por un familiar. No pudimos estar más a gusto, el personal excelente, el trato increíble y la comida buenísima para lo barato que es. Repetiremos sin ninguna duda"
2020/8/25,1598306400,friends,5.0,Excelente elección para una cena con amigos.,"El servicio es rápido y muy atento.La cena estuvo genial. Todos los platos eran abundantes y estaban muy buenos. Sin duda una perfecta elección. Si volvemos a Albacete, repetiremos restaurante."
2020/3/4,1583276400,couples,5.0,Genial,"Un sitio muy recomendable si eres celiaco, en su carta están indicadas las opciones sin gluten y se nota que controlan (disponen de cerveza, pan, incluso algún postre) Todo muy rico, trato amable y bien de precio :)"
2020/3/1,1583017200,friends,5.0,Almuerzo y cena,"El viernes cominos el menú y menudo menú, nada que ver con otros, platos con una exquisita elaboración ricos de verdad, el sábado con una muy buena ensalada y unos pinchos especiales, cenamos como reyes.Personal sinpatico, profesional y atentos."
2020/2/16,1581807600,friends,1.0,Tapas de poca calidad y elaboración,"Cena de amigos con tapas y algún plato de la carta a compartir, no se salva nada, un desastre de calidad y presentación, dirigido a público poco exigente"
2020/2/5,1580857200,none,5.0,Excelente,Un bar recomendable si lo que quieres es disfrutar de buenas tapas y pinchos en familia o con amigos. Disponen de una amplia variedad y todo razonablemente bueno. Los camareros amables y atentos. Un acierto para tapear
2019/11/20,1574204400,none,4.0,Un acierto,"Sin tener más referencias que las que leímos aquí, en Tripadvisor, decidimos reservar dadas las buenas críticas. Todo fue más que correcto: la atención, los platos a compartir, el ambiente y el precio. Cuando volvamos por Albacete, muy probablemente repetiremos aquí."
2019/11/3,1572735600,couples,5.0,Un valor seguro en Albacete,"Fuimos a tapear un sábado noche, y a pesar de estar el sitio lleno, nos atendieron muy bien y el servicio fue rápido. Los pinchos están espectaculares y la carta tiene de todo. Cálidad precio, inmejorable, da gusto que sigan habiendo sitios así."
2019/9/16,1568584800,friends,5.0,Excelente comida.,"Excelente ubicación centro.Toda la comida está buenísima, la atención formidable, raciones grandes.Juan es el dueño, una persona encantadora.Totalmente recomendable."
2019/8/18,1566079200,family,4.0,Muy recomendable y con tapas y menú para celiacos,"Lugar muy recomendable, un estilo Lizarran, con opciones de menú. Bastantes cosas para celiacos y lo cuidan mucho. Cosas ricas y precio muy bueno. Estábamos de paso, pero lo reservamos por las opiniones que leímos y fue un acierto. "
2019/8/17,1565992800,friends,5.0,Muy buena relación calidad/precio,"Menú de sábado por 12,50€, estaba muy bueno y a pesar de que las bebidas no entraban estaban bien de precio. Recomendable! "
2019/8/4,1564869600,friends,3.0,"Esta vez, de carta.","Había estado un par de veces en plan pinchos, como el antiguo Lizarrán que es, pero esta vez nos decantamos por probar carta.La sepia con salsa romescu está buena, pero apenas ponen una minisepia. Siendo tres como éramos en la mesa, supo a poco.El cachopo lo probamos igualmente, y tampoco era el típico cachopo asturiano enorme y con varias capas. Este parecía más anémico. En todo caso, muy crujiente, y con buen sabor.Probamos también algunos otros platos, entre los que sí resultó más rico el de huevos rotos con queso de cabra.Servicio adecuado, precio más o menos ajustado (llevábamos una promoción de una app, por lo que salió más económico) y buena carta de vinos.Quizá pueda mejorarse la experiencia mezclando pinchos como entrante y algo de carta para plato principal..."
2019/7/9,1562623200,family,4.0,Correcto ,"Restaurante taperia variedad de tapas tiene un menú mas que correcto, nosotros pedimos arroz señoret, secreto iberico y algúnas tapas todo muy correcto, el precio càlidad esta bien, si vas Albacete lo recomiendo por buena comida, cèntrico y un personal muy atentos y super simpàticos. "
2018/10/28,1540677600,family,5.0,Buen descubrimiento,"Fuimos a esta taperia por recomendación de su página de Facebook, todo un acierto. Una amplia y muy variada gama de tapas y pintxos fríos y calientes. Es autoservicio, eliges lo que quieres. Muy céntrico y muy bien situado, no es difícil aparcar por la zona. Lo recomiendo!!!!"
2018/10/1,1538344800,couples,4.0,Visitable,"Lugar céntrico en Albacete. Buenos menús diarios y el clásico bar de pinchos. La calidad y la cantidad de las raciones es más que aceptable, y el personal es muy agradable. Precio asequible y se notan las ganas de innovar no quedándose estancados en los clásicos pinchos de barra."
2018/9/25,1537826400,solo,3.0,"¿""Gastro taperia""?","Se nos ha ido de las manos el tema de ponerle gastro bar a baretos de mala muerte sólo por el postureo, en este caso tenemos una gastro-tapería en un lugar centrico de Albacete, una ciudad en la que no se come mal, pues ale, para adentro a ver...El local es estrecho y claustrofóbico, las mesas pequeñas y las sillas bajas, además hace calor, la barra está llena de pinchos de diferentes formas y tamaños con llamativos nombres pero con decepcionante sabor, muy normalitos y abundante fritanga, hay posibilidad de pedir menú de dia y de noche que sigue la misma tónica que los pinchos, nada a destacar.El servicio, eso si, es eficiente y amable, una pena que lo que anuncian como gastrotapas sea una decepción."
2018/9/15,1536962400,friends,5.0,Genial,"Es uno de los bares más recomendables para ir de pinchos en Albacete, todo está buenísimo y el personal es muy agradable. Además también tienes la opción de comer de menú, que está genial de precio, cantidad y calidad. Otro punto a su favor es que te adaptan casi todos los pinchos para celiacos, cosa que como celiaca agradezco enormemente porque lo hacen en pocos sitios. Lo recomiendo al 100. %. "
2018/8/27,1535320800,family,5.0,Buen menú en todo el centro,"Buen menú, buena situación, buena calidad y buen precio. Recomendado el menú en días festivos. También tienen menú infantil y la atención es correcta. el encargado muy amable. Se anuncia en páginas como el tenedor etc donde tienen promociones a veces.Nosotros solemos ir de vez en cuando y salimos encantados."
2018/8/26,1535234400,friends,5.0,Comer,"Excelente menu y excelente precio. La carta variada y original, con toques ""de la casa"". El dueño, Juan, te atiende como de la familia. Un domingo de agosto y la gente entrando sin parar. Y el ""Borrachito de tarta de Santiago espectacular!"
2018/8/22,1534888800,friends,3.0,Recomendable!!!,"Fui a cenar con unos amigos y es de estos sitios que al entrar y ver todos los pinchos en la barra tipo lizzaran les dices a los amigos, pero no vamos a cenar de tapeo??? Pero si!!! No me importa ir de pinchos pero siempre cenamos de tapeo y al entre pensé que no tendrían allí pero me sorprendió mucho su carta. Unas tapas muy buenas y elaboradas, además de generosas y bien presentadas. Pedimos 4 tapas y nos cogimos 1 pincho cada uno de lo que nos gustó, de postre una de sus tartas que a priori parecen caseras y cenamos muy bien, muy correcto todo y muy bien atendidos. Por poner una pega, odio las bebidas pequeñas y las coca-colas allí son de 20cl y el agua que queríamos una grande para todos no tenían más grande de medio litro, eso sería lo único por mi parte que deberían mejorar y cambiar. Y de precio super bien, salimos a unos 15€ por cabeza. Como he puesto en el título, recomendable, la verdad!  "
2018/8/12,1534024800,solo,5.0,Magnifico,"Magnifico local para tapas y platos cocinados. Comi el menu a buen precio con tres tapas a elegir de un magnifico surtido y  un exquisito y repito lo de exquisito, gazpacho manchego con setas y manitas de cerdo. Personal muy agradable. Sitio a recomendar"
2018/8/5,1533420000,family,5.0,De categoríaaaaa,"Hacia tiempo que no comía tan a gusto y variado. Ya sabía del sitio pero nunca había venido y, la verdad, volveré seguro. 100% recomendable"
2018/8/4,1533333600,couples,5.0,Gran relación calidad-precio.,"Hemos ido a comer mi mujer y yo a este restaurante.Ha sido todo un descubrimiento, el local es moderno, parece mas una taberna que un restaurante al uso, el trato y atención de Juan (propietario) ha sido inmejorable, aconsejandonos tanto con la comida como con la bebida, tiene una amplia gama para los amantes de la cerveza como nosotros, aunque a petición nuestra sin agobiar. En cuanto a la comida, que es lo mas importante, es difícil encontrar mejor relación calidad-precio, hemos compartido un cachopo estupendo por 12 euros, media ración de queso frito con mermelada de mango y media ración de esparragos en tempura buenisimos, para terminar con un buen brownie y un tiramisú algo fuerte y contundente, pero bueno también. Todo ello acompañado de varias cervezas artesanas por 40€. En definitiva, un lugar para volver."
2018/8/4,1533333600,couples,5.0,Comida muy buena,"Me dejé guiar por las opiniones de otros viajeros del tenedor y la verdad es que no defrauda. Juan, que es el dueño, nos recomendó ciertos platos y cervezas artesanas de la zona y no falló. Nos gustó que nos orientara y avisara de si era mucha cantidad o poca para dos personas y de cuál era la recomendación de cervezas y de postre. Tienen menú diario, de fin de semana y de cenas, pero nosotros pedimos de carta en plan raciones y nos encantó. Probamos el queso frito con mermelada de mango (la mermelada no sabe mucho, pero se agradece la variedad), espárragos trigueros en tempura con jamón crujiente y mahonesa y cachopo con guarnición de patatas gajo y queso cabrales. Nos gustó todo mucho, especialmente el cachopo, que lo trinchan en una tabla y es para dos personas. Como postre, nos decidimos por un brownie de pistacho (lo prefiero con nueces) y tiramisú (muy potente, con bastante licor). Los postres son caseros, excepto el coulant. De cervezas, va en gusto, pero nosotros tomamos las tres hechas en Albacete (rubia, tostada y negra) y no estuvo mal la experiencia. Para finalizar, Juan nos invitó a un chupitejo. En resumen, es un sitio que está muy bien para comer de plato o de pintxos,  estupendamente acondicionado en esta ola de calor y situado en todo el centro de Albacete,  con lo que puedes ir perfectamente andando y disfrutar de un paseo en el Altozano por la noche."
2018/7/26,1532556000,friends,5.0,Genial,"He ido varias veces con mi pareja y otras. Excelente servicio. Carta variada, buenos vinos y cervezas.  Buena cocina, mejor servicio y un precio muy competitivo. También he ido con grupos y el reto superado. Personal competente y atento. Precios por debajo de la calidad y cantidad ofrecida. Y los pinchos.... gran variedad. Fríos y calientes. El local también esta muy bien."
